tss_id	ohn_fam	mm_cat	dre_cat	Connectivity
ENSDARG00000057484	ohn_fam_BL03532	1-1	2	1
ENSDARG00000103893	ohn_fam_BL03532	1-1	2	3
BL13853	ohn_fam_BL13853	1-2	2	0
ENSDARG00000022415	ohn_fam_BL13853	1-2	2	0
ENSDARG00000086411	ohn_fam_BL13853	1-2	2	1
BL08039	ohn_fam_BL08039	1-1	1	0
ENSDARG00000041361	ohn_fam_BL08039	1-1	1	0
BL17486	ohn_fam_BL17486	1-2	3	0
ENSDARG00000098809	ohn_fam_BL17486	1-2	3	0
ENSDARG00000012866	ohn_fam_BL17486	1-2	3	0
ENSDARG00000014137	ohn_fam_BL17486	1-2	3	0
BL13387	ohn_fam_BL13387	1-2	2	0
ENSDARG00000056934	ohn_fam_BL13387	1-2	2	1
ENSDARG00000061365	ohn_fam_BL13387	1-2	2	1
BL14942	ohn_fam_BL14942	1-1	1	0
ENSDARG00000100236	ohn_fam_BL14942	1-1	1	1
BL09992	ohn_fam_BL09992	1-4	4	0
ENSDARG00000077955	ohn_fam_BL09992	1-4	4	0
ENSDARG00000068582	ohn_fam_BL09992	1-4	4	1
ENSDARG00000062055	ohn_fam_BL09992	1-4	4	0
ENSDARG00000079306	ohn_fam_BL09992	1-4	4	0
BL10446	ohn_fam_BL10446	1-1	2	0
ENSDARG00000101411	ohn_fam_BL10446	1-1	2	0
ENSDARG00000099151	ohn_fam_BL10446	1-1	2	1
BL02869	ohn_fam_BL02869	1-1	2	0
ENSDARG00000016699	ohn_fam_BL02869	1-1	2	0
ENSDARG00000031875	ohn_fam_BL02869	1-1	2	0
BL08850	ohn_fam_BL08850	1-1	1	0
ENSDARG00000008188	ohn_fam_BL08850	1-1	1	1
BL07074	ohn_fam_BL07074	1-1	1	0
ENSDARG00000035023	ohn_fam_BL07074	1-1	1	1
BL07310	ohn_fam_BL07310	1-1	1	0
ENSDARG00000087110	ohn_fam_BL07310	1-1	1	0
BL23372	ohn_fam_BL23372	1-3	2	1
ENSDARG00000059768	ohn_fam_BL23372	1-3	2	1
ENSDARG00000027079	ohn_fam_BL23372	1-3	2	2
BL04266	ohn_fam_BL04266	1-4	4	1
ENSDARG00000099880	ohn_fam_BL04266	1-4	4	0
ENSDARG00000056666	ohn_fam_BL04266	1-4	4	2
ENSDARG00000099374	ohn_fam_BL04266	1-4	4	3
ENSDARG00000019516	ohn_fam_BL04266	1-4	4	4
BL01005	ohn_fam_BL01005	1-3	1	0
ENSDARG00000054137	ohn_fam_BL01005	1-3	1	2
BL11577	ohn_fam_BL11577	1-2	3	0
ENSDARG00000059939	ohn_fam_BL11577	1-2	3	0
ENSDARG00000053091	ohn_fam_BL11577	1-2	3	2
ENSDARG00000031761	ohn_fam_BL11577	1-2	3	1
BL82031	ohn_fam_BL82031	1-1	1	2
ENSDARG00000039824	ohn_fam_BL82031	1-1	1	0
BL20556	ohn_fam_BL20556	1-1	1	0
ENSDARG00000068103	ohn_fam_BL20556	1-1	1	0
BL02520	ohn_fam_BL02520	1-2	1	0
ENSDARG00000077013	ohn_fam_BL02520	1-2	1	0
BL02375	ohn_fam_BL02375	1-1	1	0
ENSDARG00000103771	ohn_fam_BL02375	1-1	1	0
BL07032	ohn_fam_BL07032	1-1	2	0
ENSDARG00000101431	ohn_fam_BL07032	1-1	2	0
ENSDARG00000089010	ohn_fam_BL07032	1-1	2	0
BL35883	ohn_fam_BL35883	1-1	1	0
ENSDARG00000103046	ohn_fam_BL35883	1-1	1	0
BL16542	ohn_fam_BL16542	1-1	1	0
ENSDARG00000090489	ohn_fam_BL16542	1-1	1	0
BL23888	ohn_fam_BL23888	1-2	2	0
ENSDARG00000078473	ohn_fam_BL23888	1-2	2	0
ENSDARG00000045853	ohn_fam_BL23888	1-2	2	0
BL14307	ohn_fam_BL14307	1-2	1	0
ENSDARG00000032651	ohn_fam_BL14307	1-2	1	0
BL06310	ohn_fam_BL06310	1-1	1	0
ENSDARG00000077721	ohn_fam_BL06310	1-1	1	0
BL23934	ohn_fam_BL23934	1-1	2	0
ENSDARG00000029370	ohn_fam_BL23934	1-1	2	2
ENSDARG00000057790	ohn_fam_BL23934	1-1	2	1
BL96563	ohn_fam_BL96563	1-1	1	0
ENSDARG00000086302	ohn_fam_BL96563	1-1	1	1
BL02686	ohn_fam_BL02686	1-2	2	0
ENSDARG00000012140	ohn_fam_BL02686	1-2	2	1
ENSDARG00000055124	ohn_fam_BL02686	1-2	2	0
BL10371	ohn_fam_BL10371	1-3	2	0
ENSDARG00000027933	ohn_fam_BL10371	1-3	2	0
ENSDARG00000025226	ohn_fam_BL10371	1-3	2	0
BL68987	ohn_fam_BL68987	1-1	1	0
ENSDARG00000016724	ohn_fam_BL68987	1-1	1	0
BL11268	ohn_fam_BL11268	1-3	4	0
ENSDARG00000103002	ohn_fam_BL11268	1-3	4	3
ENSDARG00000043864	ohn_fam_BL11268	1-3	4	1
ENSDARG00000019881	ohn_fam_BL11268	1-3	4	0
ENSDARG00000059485	ohn_fam_BL11268	1-3	4	1
BL04520	ohn_fam_BL04520	1-2	2	0
ENSDARG00000079385	ohn_fam_BL04520	1-2	2	1
ENSDARG00000052427	ohn_fam_BL04520	1-2	2	0
BL17215	ohn_fam_BL17215	1-2	4	0
ENSDARG00000033901	ohn_fam_BL17215	1-2	4	0
ENSDARG00000032614	ohn_fam_BL17215	1-2	4	1
ENSDARG00000102015	ohn_fam_BL17215	1-2	4	0
ENSDARG00000010710	ohn_fam_BL17215	1-2	4	3
BL09152	ohn_fam_BL09152	1-2	2	0
ENSDARG00000045776	ohn_fam_BL09152	1-2	2	0
ENSDARG00000070922	ohn_fam_BL09152	1-2	2	1
BL18204	ohn_fam_BL18204	1-2	2	0
ENSDARG00000104710	ohn_fam_BL18204	1-2	2	3
ENSDARG00000019530	ohn_fam_BL18204	1-2	2	1
BL24958	ohn_fam_BL24958	1-1	2	0
ENSDARG00000043328	ohn_fam_BL24958	1-1	2	0
ENSDARG00000070431	ohn_fam_BL24958	1-1	2	0
BL06491	ohn_fam_BL06491	1-1	1	0
ENSDARG00000079388	ohn_fam_BL06491	1-1	1	1
BL18986	ohn_fam_BL18986	1-1	2	0
ENSDARG00000079352	ohn_fam_BL18986	1-1	2	1
ENSDARG00000056924	ohn_fam_BL18986	1-1	2	1
BL16094	ohn_fam_BL16094	1-1	1	0
ENSDARG00000070108	ohn_fam_BL16094	1-1	1	0
BL03225	ohn_fam_BL03225	1-3	4	0
ENSDARG00000020465	ohn_fam_BL03225	1-3	4	1
ENSDARG00000070019	ohn_fam_BL03225	1-3	4	2
ENSDARG00000037968	ohn_fam_BL03225	1-3	4	0
ENSDARG00000020258	ohn_fam_BL03225	1-3	4	0
BL95491	ohn_fam_BL95491	1-1	1	0
ENSDARG00000063252	ohn_fam_BL95491	1-1	1	0
BL16011	ohn_fam_BL16011	1-1	1	1
ENSDARG00000089930	ohn_fam_BL16011	1-1	1	0
BL02104	ohn_fam_BL02104	1-3	2	1
ENSDARG00000058232	ohn_fam_BL02104	1-3	2	3
ENSDARG00000056427	ohn_fam_BL02104	1-3	2	2
BL01087	ohn_fam_BL01087	1-1	1	2
ENSDARG00000102483	ohn_fam_BL01087	1-1	1	1
BL13911	ohn_fam_BL13911	1-1	1	0
ENSDARG00000029911	ohn_fam_BL13911	1-1	1	1
BL03365	ohn_fam_BL03365	1-3	3	0
ENSDARG00000027600	ohn_fam_BL03365	1-3	3	0
ENSDARG00000101777	ohn_fam_BL03365	1-3	3	0
ENSDARG00000056322	ohn_fam_BL03365	1-3	3	4
BL18811	ohn_fam_BL18811	1-1	1	1
ENSDARG00000067859	ohn_fam_BL18811	1-1	1	1
BL15257	ohn_fam_BL15257	1-1	1	0
ENSDARG00000020527	ohn_fam_BL15257	1-1	1	1
BL00911	ohn_fam_BL00911	1-1	1	1
ENSDARG00000099768	ohn_fam_BL00911	1-1	1	3
BL17794	ohn_fam_BL17794	1-3	4	0
ENSDARG00000059246	ohn_fam_BL17794	1-3	4	0
ENSDARG00000003429	ohn_fam_BL17794	1-3	4	0
ENSDARG00000007960	ohn_fam_BL17794	1-3	4	0
ENSDARG00000099865	ohn_fam_BL17794	1-3	4	0
BL11166	ohn_fam_BL11166	1-2	3	0
ENSDARG00000063219	ohn_fam_BL11166	1-2	3	0
ENSDARG00000088318	ohn_fam_BL11166	1-2	3	0
ENSDARG00000060065	ohn_fam_BL11166	1-2	3	1
BL15101	ohn_fam_BL15101	1-1	1	0
ENSDARG00000002710	ohn_fam_BL15101	1-1	1	1
BL22363	ohn_fam_BL22363	1-2	2	0
ENSDARG00000000489	ohn_fam_BL22363	1-2	2	0
ENSDARG00000069297	ohn_fam_BL22363	1-2	2	1
BL12066	ohn_fam_BL12066	1-1	1	0
ENSDARG00000016177	ohn_fam_BL12066	1-1	1	0
BL14672	ohn_fam_BL14672	1-1	1	0
ENSDARG00000003382	ohn_fam_BL14672	1-1	1	3
BL10836	ohn_fam_BL10836	1-1	1	1
ENSDARG00000005092	ohn_fam_BL10836	1-1	1	1
BL03538	ohn_fam_BL03538	1-1	1	0
ENSDARG00000091555	ohn_fam_BL03538	1-1	1	2
BL18544	ohn_fam_BL18544	1-1	3	0
ENSDARG00000015506	ohn_fam_BL18544	1-1	3	0
ENSDARG00000018757	ohn_fam_BL18544	1-1	3	2
ENSDARG00000062106	ohn_fam_BL18544	1-1	3	3
BL03904	ohn_fam_BL03904	1-2	4	0
ENSDARG00000098523	ohn_fam_BL03904	1-2	4	0
ENSDARG00000056181	ohn_fam_BL03904	1-2	4	3
ENSDARG00000007220	ohn_fam_BL03904	1-2	4	3
ENSDARG00000017466	ohn_fam_BL03904	1-2	4	1
BL00200	ohn_fam_BL00200	1-2	1	0
ENSDARG00000033450	ohn_fam_BL00200	1-2	1	0
BL03121	ohn_fam_BL03121	1-1	1	0
ENSDARG00000069855	ohn_fam_BL03121	1-1	1	0
BL10249	ohn_fam_BL10249	1-1	1	0
ENSDARG00000039910	ohn_fam_BL10249	1-1	1	0
BL00061	ohn_fam_BL00061	1-2	1	0
ENSDARG00000060298	ohn_fam_BL00061	1-2	1	0
BL03342	ohn_fam_BL03342	1-1	1	0
ENSDARG00000077126	ohn_fam_BL03342	1-1	1	0
BL13066	ohn_fam_BL13066	1-1	1	0
ENSDARG00000057248	ohn_fam_BL13066	1-1	1	0
BL23760	ohn_fam_BL23760	1-1	1	0
ENSDARG00000076571	ohn_fam_BL23760	1-1	1	2
BL15849	ohn_fam_BL15849	1-4	5	0
ENSDARG00000068480	ohn_fam_BL15849	1-4	5	0
ENSDARG00000104435	ohn_fam_BL15849	1-4	5	2
ENSDARG00000098802	ohn_fam_BL15849	1-4	5	0
ENSDARG00000104701	ohn_fam_BL15849	1-4	5	3
ENSDARG00000060771	ohn_fam_BL15849	1-4	5	1
BL00620	ohn_fam_BL00620	1-2	3	1
ENSDARG00000040110	ohn_fam_BL00620	1-2	3	0
ENSDARG00000071009	ohn_fam_BL00620	1-2	3	2
ENSDARG00000044491	ohn_fam_BL00620	1-2	3	0
BL11974	ohn_fam_BL11974	1-4	6	0
ENSDARG00000015552	ohn_fam_BL11974	1-4	6	2
ENSDARG00000032221	ohn_fam_BL11974	1-4	6	1
ENSDARG00000027172	ohn_fam_BL11974	1-4	6	0
ENSDARG00000023916	ohn_fam_BL11974	1-4	6	0
ENSDARG00000019304	ohn_fam_BL11974	1-4	6	0
ENSDARG00000058243	ohn_fam_BL11974	1-4	6	0
BL22855	ohn_fam_BL22855	1-1	1	0
ENSDARG00000062978	ohn_fam_BL22855	1-1	1	0
BL03651	ohn_fam_BL03651	1-1	1	1
ENSDARG00000078947	ohn_fam_BL03651	1-1	1	0
BL00257	ohn_fam_BL00257	1-2	2	1
ENSDARG00000090690	ohn_fam_BL00257	1-2	2	0
ENSDARG00000062797	ohn_fam_BL00257	1-2	2	0
BL04295	ohn_fam_BL04295	1-2	2	0
ENSDARG00000102334	ohn_fam_BL04295	1-2	2	0
ENSDARG00000070470	ohn_fam_BL04295	1-2	2	0
BL06575	ohn_fam_BL06575	1-1	1	0
ENSDARG00000068640	ohn_fam_BL06575	1-1	1	2
BL15041	ohn_fam_BL15041	1-3	1	1
ENSDARG00000011602	ohn_fam_BL15041	1-3	1	1
BL18039	ohn_fam_BL18039	1-1	1	0
ENSDARG00000026842	ohn_fam_BL18039	1-1	1	0
BL07042	ohn_fam_BL07042	1-3	5	0
ENSDARG00000056490	ohn_fam_BL07042	1-3	5	3
ENSDARG00000056483	ohn_fam_BL07042	1-3	5	0
ENSDARG00000058237	ohn_fam_BL07042	1-3	5	1
ENSDARG00000057395	ohn_fam_BL07042	1-3	5	0
ENSDARG00000099727	ohn_fam_BL07042	1-3	5	0
BL13346	ohn_fam_BL13346	1-1	1	0
ENSDARG00000063385	ohn_fam_BL13346	1-1	1	3
BL20413	ohn_fam_BL20413	1-3	3	0
ENSDARG00000079315	ohn_fam_BL20413	1-3	3	0
ENSDARG00000060766	ohn_fam_BL20413	1-3	3	2
ENSDARG00000088590	ohn_fam_BL20413	1-3	3	2
BL08770	ohn_fam_BL08770	1-2	1	0
ENSDARG00000039123	ohn_fam_BL08770	1-2	1	1
BL08138	ohn_fam_BL08138	1-2	3	0
ENSDARG00000077093	ohn_fam_BL08138	1-2	3	0
ENSDARG00000018854	ohn_fam_BL08138	1-2	3	3
ENSDARG00000100056	ohn_fam_BL08138	1-2	3	2
BL09865	ohn_fam_BL09865	1-3	3	1
ENSDARG00000040442	ohn_fam_BL09865	1-3	3	1
ENSDARG00000076919	ohn_fam_BL09865	1-3	3	1
ENSDARG00000075158	ohn_fam_BL09865	1-3	3	2
BL17358	ohn_fam_BL17358	1-1	1	0
ENSDARG00000076920	ohn_fam_BL17358	1-1	1	1
BL08058	ohn_fam_BL08058	1-1	1	0
ENSDARG00000034146	ohn_fam_BL08058	1-1	1	1
BL03371	ohn_fam_BL03371	1-1	1	0
ENSDARG00000012409	ohn_fam_BL03371	1-1	1	1
BL13048	ohn_fam_BL13048	1-1	1	0
ENSDARG00000089863	ohn_fam_BL13048	1-1	1	0
BL22553	ohn_fam_BL22553	1-2	1	0
ENSDARG00000090788	ohn_fam_BL22553	1-2	1	0
BL18549	ohn_fam_BL18549	1-1	1	0
ENSDARG00000053101	ohn_fam_BL18549	1-1	1	0
BL09643	ohn_fam_BL09643	1-2	2	0
ENSDARG00000023578	ohn_fam_BL09643	1-2	2	2
ENSDARG00000069331	ohn_fam_BL09643	1-2	2	1
BL15759	ohn_fam_BL15759	1-2	2	1
ENSDARG00000062017	ohn_fam_BL15759	1-2	2	2
ENSDARG00000059432	ohn_fam_BL15759	1-2	2	0
BL22542	ohn_fam_BL22542	1-3	3	0
ENSDARG00000008209	ohn_fam_BL22542	1-3	3	0
ENSDARG00000102879	ohn_fam_BL22542	1-3	3	2
ENSDARG00000074030	ohn_fam_BL22542	1-3	3	1
BL04312	ohn_fam_BL04312	1-1	1	0
ENSDARG00000037919	ohn_fam_BL04312	1-1	1	0
BL17451	ohn_fam_BL17451	1-2	1	0
ENSDARG00000018618	ohn_fam_BL17451	1-2	1	2
BL11899	ohn_fam_BL11899	1-1	1	0
ENSDARG00000007413	ohn_fam_BL11899	1-1	1	0
BL01292	ohn_fam_BL01292	1-2	2	0
ENSDARG00000014081	ohn_fam_BL01292	1-2	2	1
ENSDARG00000055099	ohn_fam_BL01292	1-2	2	0
BL19957	ohn_fam_BL19957	1-1	1	0
ENSDARG00000077987	ohn_fam_BL19957	1-1	1	0
BL00718	ohn_fam_BL00718	1-2	1	0
ENSDARG00000043643	ohn_fam_BL00718	1-2	1	0
BL14910	ohn_fam_BL14910	1-1	1	0
ENSDARG00000006395	ohn_fam_BL14910	1-1	1	0
BL20322	ohn_fam_BL20322	1-1	1	0
ENSDARG00000062511	ohn_fam_BL20322	1-1	1	0
BL12401	ohn_fam_BL12401	1-2	2	1
ENSDARG00000061848	ohn_fam_BL12401	1-2	2	2
ENSDARG00000036558	ohn_fam_BL12401	1-2	2	4
BL24475	ohn_fam_BL24475	1-1	1	0
ENSDARG00000011863	ohn_fam_BL24475	1-1	1	1
BL24339	ohn_fam_BL24339	1-1	1	0
ENSDARG00000018574	ohn_fam_BL24339	1-1	1	1
BL01250	ohn_fam_BL01250	1-3	4	0
ENSDARG00000014891	ohn_fam_BL01250	1-3	4	3
ENSDARG00000026784	ohn_fam_BL01250	1-3	4	1
ENSDARG00000005645	ohn_fam_BL01250	1-3	4	0
ENSDARG00000042646	ohn_fam_BL01250	1-3	4	0
BL17295	ohn_fam_BL17295	1-2	2	0
ENSDARG00000051857	ohn_fam_BL17295	1-2	2	0
ENSDARG00000002002	ohn_fam_BL17295	1-2	2	0
BL05435	ohn_fam_BL05435	1-2	3	0
ENSDARG00000058127	ohn_fam_BL05435	1-2	3	3
ENSDARG00000015990	ohn_fam_BL05435	1-2	3	0
ENSDARG00000012519	ohn_fam_BL05435	1-2	3	0
BL00812	ohn_fam_BL00812	1-1	1	0
ENSDARG00000088984	ohn_fam_BL00812	1-1	1	0
BL15756	ohn_fam_BL15756	1-2	2	0
ENSDARG00000075100	ohn_fam_BL15756	1-2	2	2
ENSDARG00000102855	ohn_fam_BL15756	1-2	2	4
BL11987	ohn_fam_BL11987	1-4	4	0
ENSDARG00000076416	ohn_fam_BL11987	1-4	4	0
ENSDARG00000076371	ohn_fam_BL11987	1-4	4	0
ENSDARG00000102180	ohn_fam_BL11987	1-4	4	3
ENSDARG00000079900	ohn_fam_BL11987	1-4	4	1
BL23938	ohn_fam_BL23938	1-2	2	0
ENSDARG00000078864	ohn_fam_BL23938	1-2	2	1
ENSDARG00000003751	ohn_fam_BL23938	1-2	2	0
BL24905	ohn_fam_BL24905	1-2	3	0
ENSDARG00000004537	ohn_fam_BL24905	1-2	3	1
ENSDARG00000062962	ohn_fam_BL24905	1-2	3	0
ENSDARG00000060697	ohn_fam_BL24905	1-2	3	0
BL06613	ohn_fam_BL06613	1-4	2	0
ENSDARG00000001857	ohn_fam_BL06613	1-4	2	2
ENSDARG00000052242	ohn_fam_BL06613	1-4	2	0
BL13342	ohn_fam_BL13342	1-3	3	3
ENSDARG00000037429	ohn_fam_BL13342	1-3	3	1
ENSDARG00000028053	ohn_fam_BL13342	1-3	3	0
ENSDARG00000028071	ohn_fam_BL13342	1-3	3	0
BL21463	ohn_fam_BL21463	1-1	1	1
ENSDARG00000043134	ohn_fam_BL21463	1-1	1	2
BL10308	ohn_fam_BL10308	1-3	4	0
ENSDARG00000009023	ohn_fam_BL10308	1-3	4	0
ENSDARG00000086326	ohn_fam_BL10308	1-3	4	2
ENSDARG00000026028	ohn_fam_BL10308	1-3	4	1
ENSDARG00000036826	ohn_fam_BL10308	1-3	4	3
BL23026	ohn_fam_BL23026	1-1	2	0
ENSDARG00000016630	ohn_fam_BL23026	1-1	2	0
ENSDARG00000103004	ohn_fam_BL23026	1-1	2	0
BL23627	ohn_fam_BL23627	1-2	3	0
ENSDARG00000021979	ohn_fam_BL23627	1-2	3	0
ENSDARG00000075608	ohn_fam_BL23627	1-2	3	0
ENSDARG00000020395	ohn_fam_BL23627	1-2	3	0
BL24793	ohn_fam_BL24793	1-2	2	0
ENSDARG00000098867	ohn_fam_BL24793	1-2	2	2
ENSDARG00000104251	ohn_fam_BL24793	1-2	2	0
BL06374	ohn_fam_BL06374	1-4	3	0
ENSDARG00000013000	ohn_fam_BL06374	1-4	3	1
ENSDARG00000053205	ohn_fam_BL06374	1-4	3	3
ENSDARG00000077053	ohn_fam_BL06374	1-4	3	0
BL01498	ohn_fam_BL01498	1-3	4	3
ENSDARG00000011407	ohn_fam_BL01498	1-3	4	1
ENSDARG00000069093	ohn_fam_BL01498	1-3	4	0
ENSDARG00000012405	ohn_fam_BL01498	1-3	4	0
ENSDARG00000020007	ohn_fam_BL01498	1-3	4	0
BL11905	ohn_fam_BL11905	1-1	1	1
ENSDARG00000062727	ohn_fam_BL11905	1-1	1	0
BL24840	ohn_fam_BL24840	1-3	3	2
ENSDARG00000045748	ohn_fam_BL24840	1-3	3	0
ENSDARG00000076484	ohn_fam_BL24840	1-3	3	2
ENSDARG00000093440	ohn_fam_BL24840	1-3	3	2
BL96197	ohn_fam_BL96197	1-2	1	0
ENSDARG00000098237	ohn_fam_BL96197	1-2	1	3
BL11388	ohn_fam_BL11388	1-3	3	0
ENSDARG00000020482	ohn_fam_BL11388	1-3	3	0
ENSDARG00000006621	ohn_fam_BL11388	1-3	3	0
ENSDARG00000011564	ohn_fam_BL11388	1-3	3	3
BL96381	ohn_fam_BL96381	1-1	1	0
ENSDARG00000009567	ohn_fam_BL96381	1-1	1	1
BL10100	ohn_fam_BL10100	1-2	2	0
ENSDARG00000069467	ohn_fam_BL10100	1-2	2	1
ENSDARG00000033845	ohn_fam_BL10100	1-2	2	1
BL35058	ohn_fam_BL35058	1-3	3	0
ENSDARG00000095019	ohn_fam_BL35058	1-3	3	0
ENSDARG00000034504	ohn_fam_BL35058	1-3	3	1
ENSDARG00000008720	ohn_fam_BL35058	1-3	3	1
BL01435	ohn_fam_BL01435	1-2	2	0
ENSDARG00000058868	ohn_fam_BL01435	1-2	2	0
ENSDARG00000063007	ohn_fam_BL01435	1-2	2	0
BL14726	ohn_fam_BL14726	1-1	1	0
ENSDARG00000045541	ohn_fam_BL14726	1-1	1	0
BL96094	ohn_fam_BL96094	1-1	1	0
ENSDARG00000039657	ohn_fam_BL96094	1-1	1	1
BL20740	ohn_fam_BL20740	1-2	2	0
ENSDARG00000025858	ohn_fam_BL20740	1-2	2	0
ENSDARG00000074490	ohn_fam_BL20740	1-2	2	0
BL22804	ohn_fam_BL22804	1-1	1	1
ENSDARG00000062244	ohn_fam_BL22804	1-1	1	0
BL08327	ohn_fam_BL08327	1-1	1	0
ENSDARG00000103316	ohn_fam_BL08327	1-1	1	1
BL24814	ohn_fam_BL24814	1-1	1	0
ENSDARG00000076559	ohn_fam_BL24814	1-1	1	0
BL24850	ohn_fam_BL24850	1-2	2	0
ENSDARG00000091006	ohn_fam_BL24850	1-2	2	1
ENSDARG00000102829	ohn_fam_BL24850	1-2	2	1
BL01905	ohn_fam_BL01905	1-3	2	0
ENSDARG00000002970	ohn_fam_BL01905	1-3	2	0
ENSDARG00000101085	ohn_fam_BL01905	1-3	2	0
BL09892	ohn_fam_BL09892	1-3	4	0
ENSDARG00000013224	ohn_fam_BL09892	1-3	4	3
ENSDARG00000056695	ohn_fam_BL09892	1-3	4	0
ENSDARG00000074604	ohn_fam_BL09892	1-3	4	1
ENSDARG00000002971	ohn_fam_BL09892	1-3	4	0
BL07639	ohn_fam_BL07639	1-3	4	1
ENSDARG00000074023	ohn_fam_BL07639	1-3	4	0
ENSDARG00000056150	ohn_fam_BL07639	1-3	4	0
ENSDARG00000044574	ohn_fam_BL07639	1-3	4	3
ENSDARG00000044179	ohn_fam_BL07639	1-3	4	1
BL07615	ohn_fam_BL07615	1-3	3	2
ENSDARG00000063097	ohn_fam_BL07615	1-3	3	1
ENSDARG00000037362	ohn_fam_BL07615	1-3	3	0
ENSDARG00000011490	ohn_fam_BL07615	1-3	3	0
BL16578	ohn_fam_BL16578	1-3	4	0
ENSDARG00000087016	ohn_fam_BL16578	1-3	4	1
ENSDARG00000079811	ohn_fam_BL16578	1-3	4	0
ENSDARG00000017834	ohn_fam_BL16578	1-3	4	0
ENSDARG00000102366	ohn_fam_BL16578	1-3	4	1
BL24967	ohn_fam_BL24967	1-2	2	1
ENSDARG00000002847	ohn_fam_BL24967	1-2	2	1
ENSDARG00000071095	ohn_fam_BL24967	1-2	2	0
BL01044	ohn_fam_BL01044	1-1	1	1
ENSDARG00000059773	ohn_fam_BL01044	1-1	1	0
BL25700	ohn_fam_BL25700	1-4	3	0
ENSDARG00000101995	ohn_fam_BL25700	1-4	3	0
ENSDARG00000099919	ohn_fam_BL25700	1-4	3	0
ENSDARG00000053665	ohn_fam_BL25700	1-4	3	0
BL00158	ohn_fam_BL00158	1-1	1	0
ENSDARG00000015221	ohn_fam_BL00158	1-1	1	1
BL06741	ohn_fam_BL06741	1-2	2	0
ENSDARG00000061159	ohn_fam_BL06741	1-2	2	0
ENSDARG00000016089	ohn_fam_BL06741	1-2	2	0
BL23620	ohn_fam_BL23620	1-1	2	0
ENSDARG00000076867	ohn_fam_BL23620	1-1	2	1
ENSDARG00000088307	ohn_fam_BL23620	1-1	2	1
