Bla	Dre	mm_cat	dre_cat
BL06374	ENSDARG00000013000	1-4	3
BL06374	ENSDARG00000053205	1-4	3
BL06374	ENSDARG00000077053	1-4	3
BL01498	ENSDARG00000011407	1-3	4
BL01498	ENSDARG00000069093	1-3	4
BL01498	ENSDARG00000012405	1-3	4
BL01498	ENSDARG00000020007	1-3	4
BL11905	ENSDARG00000062727	1-1	1
BL24840	ENSDARG00000045748	1-3	3
BL24840	ENSDARG00000076484	1-3	3
BL24840	ENSDARG00000093440	1-3	3
BL96197	ENSDARG00000098237	1-2	1
BL11388	ENSDARG00000020482	1-3	3
BL11388	ENSDARG00000006621	1-3	3
BL11388	ENSDARG00000011564	1-3	3
BL96381	ENSDARG00000009567	1-1	1
BL10100	ENSDARG00000069467	1-2	2
BL10100	ENSDARG00000033845	1-2	2
BL35058	ENSDARG00000095019	1-3	3
BL35058	ENSDARG00000034504	1-3	3
BL35058	ENSDARG00000008720	1-3	3
BL01435	ENSDARG00000058868	1-2	2
BL01435	ENSDARG00000063007	1-2	2
BL14726	ENSDARG00000045541	1-1	1
BL96094	ENSDARG00000039657	1-1	1
BL20740	ENSDARG00000025858	1-2	2
BL20740	ENSDARG00000074490	1-2	2
BL22804	ENSDARG00000062244	1-1	1
BL08327	ENSDARG00000103316	1-1	1
BL24814	ENSDARG00000076559	1-1	1
BL24850	ENSDARG00000091006	1-2	2
BL24850	ENSDARG00000102829	1-2	2
BL01905	ENSDARG00000002970	1-3	2
BL01905	ENSDARG00000101085	1-3	2
BL09892	ENSDARG00000013224	1-3	4
BL09892	ENSDARG00000056695	1-3	4
BL09892	ENSDARG00000074604	1-3	4
BL09892	ENSDARG00000002971	1-3	4
BL07639	ENSDARG00000074023	1-3	4
BL07639	ENSDARG00000056150	1-3	4
BL07639	ENSDARG00000044574	1-3	4
BL07639	ENSDARG00000044179	1-3	4
BL07615	ENSDARG00000063097	1-3	3
BL07615	ENSDARG00000037362	1-3	3
BL07615	ENSDARG00000011490	1-3	3
BL16578	ENSDARG00000087016	1-3	4
BL16578	ENSDARG00000079811	1-3	4
BL16578	ENSDARG00000017834	1-3	4
BL16578	ENSDARG00000102366	1-3	4
BL24967	ENSDARG00000002847	1-2	2
BL24967	ENSDARG00000071095	1-2	2
BL01044	ENSDARG00000059773	1-1	1
BL25700	ENSDARG00000101995	1-4	3
BL25700	ENSDARG00000099919	1-4	3
BL25700	ENSDARG00000053665	1-4	3
BL00158	ENSDARG00000015221	1-1	1
BL06741	ENSDARG00000061159	1-2	2
BL06741	ENSDARG00000016089	1-2	2
BL23620	ENSDARG00000076867	1-1	2
BL23620	ENSDARG00000088307	1-1	2
BL10450	ENSDARG00000070127	1-1	1
BL01359	ENSDARG00000063069	1-1	1
BL07417	ENSDARG00000078440	1-3	3
BL07417	ENSDARG00000053713	1-3	3
BL07417	ENSDARG00000076189	1-3	3
BL02429	ENSDARG00000052728	1-3	2
BL02429	ENSDARG00000020467	1-3	2
BL11036	ENSDARG00000043680	1-1	1
BL21287	ENSDARG00000056922	1-4	3
BL21287	ENSDARG00000099137	1-4	3
BL21287	ENSDARG00000035682	1-4	3
BL00908	ENSDARG00000061099	1-4	5
BL00908	ENSDARG00000006396	1-4	5
BL00908	ENSDARG00000103109	1-4	5
BL00908	ENSDARG00000007149	1-4	5
BL00908	ENSDARG00000015025	1-4	5
BL00489	ENSDARG00000075892	1-1	2
BL00489	ENSDARG00000077531	1-1	2
BL12980	ENSDARG00000060068	1-3	2
BL12980	ENSDARG00000078391	1-3	2
BL13131	ENSDARG00000103607	1-4	3
BL13131	ENSDARG00000075733	1-4	3
BL13131	ENSDARG00000077964	1-4	3
BL08127	ENSDARG00000102774	1-3	4
BL08127	ENSDARG00000019299	1-3	4
BL08127	ENSDARG00000052894	1-3	4
BL08127	ENSDARG00000060885	1-3	4
BL16431	ENSDARG00000068367	1-2	3
BL16431	ENSDARG00000007693	1-2	3
BL16431	ENSDARG00000005481	1-2	3
BL05422	ENSDARG00000100965	1-2	1
BL16378	ENSDARG00000062103	1-4	3
BL16378	ENSDARG00000039974	1-4	3
BL16378	ENSDARG00000060238	1-4	3
BL01869	ENSDARG00000057610	1-4	3
BL01869	ENSDARG00000094176	1-4	3
BL01869	ENSDARG00000037262	1-4	3
BL11212	ENSDARG00000104609	1-2	4
BL11212	ENSDARG00000104148	1-2	4
BL11212	ENSDARG00000061108	1-2	4
BL11212	ENSDARG00000100666	1-2	4
BL15533	ENSDARG00000060847	1-2	2
BL15533	ENSDARG00000060030	1-2	2
BL24573	ENSDARG00000037060	1-2	3
BL24573	ENSDARG00000079312	1-2	3
BL24573	ENSDARG00000075560	1-2	3
BL03208	ENSDARG00000027497	1-4	4
BL03208	ENSDARG00000088789	1-4	4
BL03208	ENSDARG00000086505	1-4	4
BL03208	ENSDARG00000074311	1-4	4
BL07886	ENSDARG00000104017	1-2	2
BL07886	ENSDARG00000040116	1-2	2
BL15540	ENSDARG00000077353	1-2	2
BL15540	ENSDARG00000075670	1-2	2
BL06976	ENSDARG00000044010	1-3	5
BL06976	ENSDARG00000076306	1-3	5
BL06976	ENSDARG00000039563	1-3	5
BL06976	ENSDARG00000044074	1-3	5
BL06976	ENSDARG00000025089	1-3	5
BL18239	ENSDARG00000101891	1-2	3
BL18239	ENSDARG00000092503	1-2	3
BL18239	ENSDARG00000101710	1-2	3
BL03385	ENSDARG00000078355	1-3	1
BL17936	ENSDARG00000078310	1-1	1
BL20923	ENSDARG00000038006	1-2	2
BL20923	ENSDARG00000014091	1-2	2
BL22104	ENSDARG00000041350	1-1	1
BL10608	ENSDARG00000056279	1-1	1
BL07935	ENSDARG00000053301	1-2	3
BL07935	ENSDARG00000020655	1-2	3
BL07935	ENSDARG00000091756	1-2	3
BL23357	ENSDARG00000093480	1-1	1
BL07494	ENSDARG00000004748	1-2	3
BL07494	ENSDARG00000016538	1-2	3
BL07494	ENSDARG00000029841	1-2	3
BL18048	ENSDARG00000096748	1-1	2
BL18048	ENSDARG00000003797	1-1	2
BL20137	ENSDARG00000010784	1-2	1
BL17912	ENSDARG00000025467	1-1	1
BL95461	ENSDARG00000032197	1-2	2
BL95461	ENSDARG00000060661	1-2	2
BL12083	ENSDARG00000045864	1-3	4
BL12083	ENSDARG00000062662	1-3	4
BL12083	ENSDARG00000077261	1-3	4
BL12083	ENSDARG00000056111	1-3	4
BL19537	ENSDARG00000058448	1-2	1
BL09443	ENSDARG00000015628	1-1	1
BL08768	ENSDARG00000042322	1-2	3
BL08768	ENSDARG00000055530	1-2	3
BL08768	ENSDARG00000042319	1-2	3
BL19080	ENSDARG00000090429	1-1	1
BL14235	ENSDARG00000039486	1-2	2
BL14235	ENSDARG00000017316	1-2	2
BL16687	ENSDARG00000069295	1-2	3
BL16687	ENSDARG00000069335	1-2	3
BL16687	ENSDARG00000070864	1-2	3
BL12673	ENSDARG00000076781	1-1	1
BL30302	ENSDARG00000102268	1-1	1
BL22399	ENSDARG00000061140	1-3	4
BL22399	ENSDARG00000079011	1-3	4
BL22399	ENSDARG00000069415	1-3	4
BL22399	ENSDARG00000008060	1-3	4
BL17996	ENSDARG00000078135	1-4	5
BL17996	ENSDARG00000102100	1-4	5
BL17996	ENSDARG00000102907	1-4	5
BL17996	ENSDARG00000053113	1-4	5
BL17996	ENSDARG00000077474	1-4	5
BL16329	ENSDARG00000100161	1-4	13
BL16329	ENSDARG00000102158	1-4	13
BL16329	ENSDARG00000079155	1-4	13
BL16329	ENSDARG00000069199	1-4	13
BL16329	ENSDARG00000002509	1-4	13
BL16329	ENSDARG00000076139	1-4	13
BL16329	ENSDARG00000078643	1-4	13
BL16329	ENSDARG00000102296	1-4	13
BL16329	ENSDARG00000074235	1-4	13
BL16329	ENSDARG00000103273	1-4	13
BL16329	ENSDARG00000088680	1-4	13
BL16329	ENSDARG00000004763	1-4	13
BL16329	ENSDARG00000086254	1-4	13
BL19492	ENSDARG00000063062	1-2	2
BL19492	ENSDARG00000100508	1-2	2
BL95489	ENSDARG00000070846	1-1	1
BL02098	ENSDARG00000078691	1-2	3
BL02098	ENSDARG00000009735	1-2	3
BL02098	ENSDARG00000098932	1-2	3
BL23258	ENSDARG00000061778	1-3	2
BL23258	ENSDARG00000011975	1-3	2
BL22638	ENSDARG00000043697	1-2	3
BL22638	ENSDARG00000003146	1-2	3
BL22638	ENSDARG00000021351	1-2	3
BL13844	ENSDARG00000075252	1-3	3
BL13844	ENSDARG00000045885	1-3	3
BL13844	ENSDARG00000054010	1-3	3
BL24882	ENSDARG00000015805	1-2	2
BL24882	ENSDARG00000055607	1-2	2
BL23375	ENSDARG00000042722	1-3	3
BL23375	ENSDARG00000036215	1-3	3
BL23375	ENSDARG00000055955	1-3	3
BL01350	ENSDARG00000004930	1-2	3
BL01350	ENSDARG00000074275	1-2	3
BL01350	ENSDARG00000103774	1-2	3
BL19092	ENSDARG00000097591	1-1	1
BL02964	ENSDARG00000100892	1-1	1
BL08244	ENSDARG00000077928	1-1	1
BL21143	ENSDARG00000068562	1-1	1
BL03451	ENSDARG00000022280	1-4	5
BL03451	ENSDARG00000046087	1-4	5
BL03451	ENSDARG00000078904	1-4	5
BL03451	ENSDARG00000006527	1-4	5
BL03451	ENSDARG00000100129	1-4	5
BL00412	ENSDARG00000103956	1-1	1
BL00614	ENSDARG00000006666	1-1	1
BL08550	ENSDARG00000031049	1-1	2
BL08550	ENSDARG00000056084	1-1	2
BL04374	ENSDARG00000089320	1-1	1
BL11765	ENSDARG00000017037	1-2	2
BL11765	ENSDARG00000002663	1-2	2
BL17991	ENSDARG00000097772	1-1	1
BL95542	ENSDARG00000086764	1-1	1
BL12701	ENSDARG00000059059	1-1	1
BL10677	ENSDARG00000088885	1-3	1
BL05804	ENSDARG00000056862	1-2	1
BL58905	ENSDARG00000076624	1-1	1
BL19631	ENSDARG00000033042	1-2	1
BL04523	ENSDARG00000079679	1-1	1
BL17869	ENSDARG00000092464	1-1	1
BL14120	ENSDARG00000101989	1-3	2
BL14120	ENSDARG00000098228	1-3	2
BL00512	ENSDARG00000033852	1-1	1
BL22942	ENSDARG00000004177	1-1	1
BL12866	ENSDARG00000003872	1-1	1
BL01070	ENSDARG00000015853	1-2	2
BL01070	ENSDARG00000100188	1-2	2
BL03815	ENSDARG00000017425	1-1	1
BL05154	ENSDARG00000100442	1-1	1
BL11840	ENSDARG00000023495	1-1	1
BL02539	ENSDARG00000078822	1-1	1
BL05470	ENSDARG00000009764	1-2	2
BL05470	ENSDARG00000098574	1-2	2
BL00815	ENSDARG00000014366	1-1	1
BL03195	ENSDARG00000013526	1-1	1
BL18358	ENSDARG00000104933	1-1	1
BL17746	ENSDARG00000076153	1-2	1
BL97118	ENSDARG00000098294	1-4	5
BL97118	ENSDARG00000009014	1-4	5
BL97118	ENSDARG00000026165	1-4	5
BL97118	ENSDARG00000012593	1-4	5
BL97118	ENSDARG00000012422	1-4	5
BL11394	ENSDARG00000055113	1-1	1
BL13649	ENSDARG00000103922	1-2	1
BL05363	ENSDARG00000023309	1-3	1
BL12644	ENSDARG00000052512	1-2	2
BL12644	ENSDARG00000002991	1-2	2
BL00124	ENSDARG00000067841	1-1	1
BL04902	ENSDARG00000037276	1-1	1
BL96061	ENSDARG00000078722	1-1	2
BL96061	ENSDARG00000059596	1-1	2
BL24982	ENSDARG00000073699	1-2	2
BL24982	ENSDARG00000024492	1-2	2
BL84899	ENSDARG00000041779	1-1	1
BL96671	ENSDARG00000098937	1-1	1
BL62289	ENSDARG00000086851	1-1	1
BL27350	ENSDARG00000001244	1-1	1
BL59754	ENSDARG00000036245	1-3	5
BL59754	ENSDARG00000104300	1-3	5
BL59754	ENSDARG00000006712	1-3	5
BL59754	ENSDARG00000045298	1-3	5
BL59754	ENSDARG00000071084	1-3	5
BL00626	ENSDARG00000090935	1-1	1
BL11379	ENSDARG00000091398	1-2	1
BL04766	ENSDARG00000086327	1-3	2
BL04766	ENSDARG00000037965	1-3	2
BL24172	ENSDARG00000061031	1-1	1
BL06882	ENSDARG00000027749	1-1	1
BL19043	ENSDARG00000061951	1-1	1
BL06048	ENSDARG00000059097	1-1	1
BL01374	ENSDARG00000022045	1-1	2
BL01374	ENSDARG00000059601	1-1	2
BL04081	ENSDARG00000099690	1-3	4
BL04081	ENSDARG00000017105	1-3	4
BL04081	ENSDARG00000035650	1-3	4
BL04081	ENSDARG00000032049	1-3	4
BL96225	ENSDARG00000078508	1-1	1
BL00829	ENSDARG00000059558	1-3	4
BL00829	ENSDARG00000076830	1-3	4
BL00829	ENSDARG00000098278	1-3	4
BL00829	ENSDARG00000056781	1-3	4
BL08569	ENSDARG00000100506	1-1	1
BL02538	ENSDARG00000060106	1-1	2
BL02538	ENSDARG00000060081	1-1	2
BL19990	ENSDARG00000043130	1-3	4
BL19990	ENSDARG00000052139	1-3	4
BL19990	ENSDARG00000052094	1-3	4
BL19990	ENSDARG00000103554	1-3	4
BL82838	ENSDARG00000077231	1-1	1
BL20706	ENSDARG00000070331	1-2	2
BL20706	ENSDARG00000078994	1-2	2
BL21320	ENSDARG00000035427	1-1	1
BL07734	ENSDARG00000102888	1-3	2
BL07734	ENSDARG00000077577	1-3	2
BL26498	ENSDARG00000045677	1-3	4
BL26498	ENSDARG00000044861	1-3	4
BL26498	ENSDARG00000044862	1-3	4
BL26498	ENSDARG00000002193	1-3	4
BL24682	ENSDARG00000036458	1-1	2
BL24682	ENSDARG00000044900	1-1	2
BL19019	ENSDARG00000074540	1-3	3
BL19019	ENSDARG00000063357	1-3	3
BL19019	ENSDARG00000028586	1-3	3
BL00848	ENSDARG00000077308	1-1	1
BL05536	ENSDARG00000053929	1-1	5
BL05536	ENSDARG00000079129	1-1	5
BL05536	ENSDARG00000022098	1-1	5
BL05536	ENSDARG00000103259	1-1	5
BL05536	ENSDARG00000007553	1-1	5
BL03664	ENSDARG00000037576	1-2	6
BL03664	ENSDARG00000024873	1-2	6
BL03664	ENSDARG00000071640	1-2	6
BL03664	ENSDARG00000040765	1-2	6
BL03664	ENSDARG00000038918	1-2	6
BL03664	ENSDARG00000056284	1-2	6
BL13432	ENSDARG00000028725	1-3	2
BL13432	ENSDARG00000011317	1-3	2
BL20052	ENSDARG00000035533	1-3	5
BL20052	ENSDARG00000102900	1-3	5
BL20052	ENSDARG00000075112	1-3	5
BL20052	ENSDARG00000003054	1-3	5
BL20052	ENSDARG00000074509	1-3	5
BL77892	ENSDARG00000062674	1-2	2
BL77892	ENSDARG00000020252	1-2	2
BL21066	ENSDARG00000103553	1-1	2
BL21066	ENSDARG00000103083	1-1	2
BL21067	ENSDARG00000074319	1-3	3
BL21067	ENSDARG00000079613	1-3	3
BL21067	ENSDARG00000044485	1-3	3
BL21065	ENSDARG00000040303	1-1	1
BL21063	ENSDARG00000015862	1-1	2
BL21063	ENSDARG00000020197	1-1	2
BL95313	ENSDARG00000034307	1-4	5
BL95313	ENSDARG00000022532	1-4	5
BL95313	ENSDARG00000069660	1-4	5
BL95313	ENSDARG00000086647	1-4	5
BL95313	ENSDARG00000019342	1-4	5
BL11550	ENSDARG00000090714	1-1	2
BL11550	ENSDARG00000074282	1-1	2
BL17951	ENSDARG00000030125	1-3	3
BL17951	ENSDARG00000058598	1-3	3
BL17951	ENSDARG00000101717	1-3	3
BL21392	ENSDARG00000074756	1-2	1
BL02873	ENSDARG00000104361	1-2	3
BL02873	ENSDARG00000019013	1-2	3
BL02873	ENSDARG00000035508	1-2	3
BL22260	ENSDARG00000014626	1-3	4
BL22260	ENSDARG00000042296	1-3	4
BL22260	ENSDARG00000079964	1-3	4
BL22260	ENSDARG00000017174	1-3	4
BL13404	ENSDARG00000058379	1-1	2
BL13404	ENSDARG00000014201	1-1	2
BL21899	ENSDARG00000104735	1-2	2
BL21899	ENSDARG00000022569	1-2	2
BL03270	ENSDARG00000069329	1-1	1
BL12289	ENSDARG00000104307	1-3	2
BL12289	ENSDARG00000008174	1-3	2
BL07358	ENSDARG00000091029	1-2	2
BL07358	ENSDARG00000007406	1-2	2
BL09897	ENSDARG00000042027	1-2	2
BL09897	ENSDARG00000033971	1-2	2
BL06267	ENSDARG00000068976	1-1	1
BL04439	ENSDARG00000001859	1-2	2
BL04439	ENSDARG00000086393	1-2	2
BL17526	ENSDARG00000009134	1-1	1
BL95610	ENSDARG00000011273	1-3	4
BL95610	ENSDARG00000003965	1-3	4
BL95610	ENSDARG00000017615	1-3	4
BL95610	ENSDARG00000100401	1-3	4
BL02953	ENSDARG00000042291	1-3	4
BL02953	ENSDARG00000013125	1-3	4
BL02953	ENSDARG00000071560	1-3	4
BL02953	ENSDARG00000011956	1-3	4
BL23650	ENSDARG00000037550	1-2	2
BL23650	ENSDARG00000033566	1-2	2
